Algorithm;Tamanho do Número;Numero Primo gerado;Tempo para gerar
Miller-Rabin;511;6045877951781531313273353981684821043842479972302784694112436196933704628363583475252417140705053413890721646132942094774743107644994160158702892805371799;3.3015000008163042 ms
Miller-Rabin;510;2188243641846226365796138253732794211766933624991645200568694365277648026295491284113177656184906713820894041773460151597266236162453385724051893394948641;3.111399997578701 ms
Miller-Rabin;512;6857187404520383857841023250925792781807463775035841958029913184887261433354324377731743940165595855023313066567943947367201775286061654650726164541079123;3.514500000164844 ms
Miller-Rabin;1023;48949810424236441421202000594200120410929699639765947826066302642661199455314856838483640990013671813970143152111261608745173953525289647022074127317233117259639624801527332271341969570717364776107197935760059490192131226201979505465576277326583041650435664097707745330877569488111521927071915336211351249473;18.77539999986766 ms
Miller-Rabin;2048;22005113538599533332712504980389722200423364440221652331567079559418971872255568194079435408504003277481335790143678305117932468817246917953734050599561747500355514121008507222162742873271902471414196602499121838603619893028454338652843635811457074742733918994390853888253832784512581084319247265520167659346142515288245559398432598052683755044107691252870279741194373616035805531345980165029523157860252985495848149935621660647027068589139914218994392900531956550603970190868282084530478149122918922061875818300541251823199009388751955784880287607119447141025127518917551371986598661850084100419177653135758900855757;122.0748999985517 ms
Fermat;40;1068829377809;0.04470000203582458 ms
Fermat;39;344420074949;0.0411000000895001 ms
Fermat;39;386845636399;0.04400000034365803 ms
Fermat;40;803480288297;0.0397000003431458 ms
Fermat;40;970416880883;0.04400000034365803 ms
Fermat;40;995969386361;0.04549999721348286 ms
Fermat;40;1086767322101;0.04260000059730373 ms
Fermat;40;610622194697;0.040099999750964344 ms
Fermat;40;873362542397;0.04489999992074445 ms
Fermat;40;742913969713;0.04310000076657161 ms
Fermat;39;324053682893;0.04230000195093453 ms
Fermat;40;819748749559;0.043700001697288826 ms
Fermat;39;310122363409;0.03870000000461005 ms
Fermat;40;983272745669;0.046299999667098746 ms
Fermat;39;519067317959;0.045000000682193786 ms
Fermat;40;585970635781;0.03819999983534217 ms
Fermat;40;909155650367;0.04650000118999742 ms
Fermat;37;81989031239;0.04149999949731864 ms
Fermat;39;521052771821;0.042100000428035855 ms
Fermat;40;678564572641;0.04600000102072954 ms
Fermat;40;776420235529;0.037900001188972965 ms
Fermat;38;165122144443;0.04220000118948519 ms
Fermat;38;141002232961;0.04039999839733355 ms
Fermat;40;550755293293;0.040099999750964344 ms
Fermat;40;904461119509;0.038300000596791506 ms
Fermat;40;736432096663;0.044600001274375245 ms
Fermat;39;312493297409;0.03849999848171137 ms
Fermat;40;596250846761;0.054600001021754 ms
Fermat;39;357430082641;0.040099999750964344 ms
Fermat;39;396185255339;0.04609999814420007 ms
Fermat;37;72647590567;0.037900001188972965 ms
Fermat;39;303023085803;0.04220000118948519 ms
Fermat;40;553283025847;0.0441999982285779 ms
Fermat;40;669003197053;0.04640000042854808 ms
Fermat;40;983766085831;0.040099999750964344 ms
Fermat;39;392730431339;0.04439999975147657 ms
Fermat;40;1059956235781;0.0473000000056345 ms
Fermat;37;116540738813;0.041200000850949436 ms
Fermat;40;973700165903;0.05450000026030466 ms
Fermat;39;419347384133;0.04619999890564941 ms
Fermat;37;104614166807;0.0394000016967766 ms
Fermat;40;949377833101;0.05880000026081689 ms
Fermat;56;52768460975495621;0.06369999755406752 ms
Fermat;56;44595158614453397;0.06370000119204633 ms
Fermat;55;19970123175213439;0.06240000220714137 ms
Fermat;54;14817085753329109;0.058099998568650335 ms
Fermat;53;8975425332816583;0.05619999865302816 ms
Fermat;56;64821664585659997;0.06049999865354039 ms
Fermat;55;28861206740467187;0.06170000051497482 ms
Fermat;56;55305882897991853;0.05459999738377519 ms
Fermat;54;11829967071951641;0.05280000186758116 ms
Fermat;55;27919955987024483;0.05249999958323315 ms
Fermat;55;24591608551749049;0.05740000051446259 ms
Fermat;54;13374602346468991;0.06030000076862052 ms
Fermat;56;59641336297133873;0.06830000347690657 ms
Fermat;56;71272802716270063;0.058900001022266224 ms
Fermat;53;7560143751086137;0.05579999924520962 ms
Fermat;54;14552042600328301;0.05919999966863543 ms
Fermat;53;6412872847681957;0.05230000169831328 ms
Fermat;56;44522545798824001;0.05779999992228113 ms
Fermat;53;4689595478134751;0.055500000598840415 ms
Fermat;56;57146623387660013;0.059699999837903306 ms
Fermat;55;33477583482631087;0.0656000011076685 ms
Fermat;56;40473315179302123;0.056799999583745375 ms
Fermat;55;34627451589631361;0.059300000430084765 ms
Fermat;45;21946671570403;0.048999998398358 ms
Fermat;52;3761749943777297;0.05319999763742089 ms
Fermat;53;6716587064617237;0.054600001021754 ms
Fermat;55;31116217995314533;0.05379999856813811 ms
Fermat;56;40562461376554087;0.06049999865354039 ms
Fermat;56;49945217196475729;0.05560000136028975 ms
Fermat;55;29052325323057997;0.06159999975352548 ms
Fermat;56;52034191926555037;0.06769999890821055 ms
Fermat;54;15773979116609489;0.058099998568650335 ms
Fermat;80;1134645367673268458408309;0.09760000102687627 ms
Fermat;80;1199717501919247509635221;0.09819999831961468 ms
Fermat;80;1094763794154228249354769;0.09810000119614415 ms
Fermat;79;544935337487759301682483;0.09800000043469481 ms
Fermat;79;378995897561183990361083;0.10029999975813553 ms
Fermat;79;430291577551944469628107;0.10090000068885274 ms
Fermat;80;1199074670776097176607687;0.0974000031419564 ms
Fermat;80;678950517533387554124339;0.10340000153519213 ms
Fermat;80;882684042589621696102717;0.09309999950346537 ms
Fermat;80;966658900960326589477249;0.09259999933419749 ms
Fermat;80;1200940103826738444054169;0.09669999781181104 ms
Fermat;80;809689593172630498425521;0.09579999823472463 ms
Fermat;80;794590988493509467967963;0.09759999738889746 ms
Fermat;80;1057542093437383043452307;0.09529999806545675 ms
Fermat;79;465780783427015775170427;0.09559999671182595 ms
Fermat;79;340000997519691636115777;0.09859999772743322 ms
Fermat;80;802816001195439721987891;0.1322999996773433 ms
Fermat;126;74848709218747729294443547978264078231;0.21189999824855477 ms
Fermat;128;187508458246581261259326403303775425867;0.21149999884073623 ms
Fermat;127;138425936631232612482935849133023450459;0.21609999748761766 ms
Fermat;125;28979669470426578781676615382410213233;0.2963999977509957 ms
Fermat;125;41489570102401845803487549628631577409;0.20180000137770548 ms
Fermat;128;280675753855842242626918287738513793159;0.20170000061625615 ms
Fermat;125;36121251100159244218868863865567806043;0.23190000138129108 ms
Fermat;126;43959739718443042614682081250493427097;0.21389999892562628 ms
Fermat;128;200829911255290288918838551855108676017;0.2100000019709114 ms
Fermat;128;275944014881261182642958263770325478203;0.21360000027925707 ms
Fermat;128;248378902891456002545583883386015511981;0.21519999791053124 ms
Fermat;128;316493189438933590270184775677301749609;0.21259999994072132 ms
Fermat;128;305341051790662205969360120236944842309;0.2029999996011611 ms
Fermat;124;12651582633019784552603119019928833203;0.2085999985865783 ms
Fermat;128;313624653857114343618675658764101031479;0.20600000061676838 ms
Fermat;125;33717937218438863326992975412883616563;0.19869999960064888 ms
Fermat;168;252416905835804658887886830559269850516135992814311;0.3235000003769528 ms
Fermat;168;231610270575691406027641170539177216714571708152963;0.3311000000394415 ms
Fermat;163;11623638187123198844801736081884055393784768494419;0.2979000018967781 ms
Fermat;168;221307536679589217799011203402353295393268709328487;0.34360000063315965 ms
Fermat;168;253639543998357493961553350340975855650916961532789;0.4727000014099758 ms
Fermat;168;284253938078756322338616025529817862266766399999057;0.34750000122585334 ms
Fermat;167;102058051626635286217983247701054230800589704979341;0.35120000029564835 ms
Fermat;168;327075906280404769073836305232831527708308742200971;0.3316000002087094 ms
Fermat;162;4250815723784438105958483893259805422129732547601;0.29739999808953144 ms
Fermat;167;172193572064682001426760339661438477540456881553511;0.32450000071548857 ms
Fermat;223;7570779506982052809912591171777555496525937847636759294736300808959;0.5611000015051104 ms
Fermat;224;21064487774678069974453176368705780420104518451822151422474908697489;0.5172999990463722 ms
Fermat;223;7450945206919970582893273504307398782000569928924124721126755711469;0.5666999968525488 ms
Fermat;223;7681347044076358690166164040003289204396382556826686734871103930869;0.5210999988776166 ms
Fermat;222;6085363551511170297541009091851519952440101069508275610829385428369;0.5099000009067822 ms
Fermat;224;19759032271458295653526457273020265834289953271339227200037408667533;0.5294000002322719 ms
Fermat;223;12824889923547679754143701957280531540006340408759704621677979066361;0.5544000014197081 ms
Fermat;224;25493512455149577675007319287969982306673463435029868450910437658059;0.5680999965989031 ms
Fermat;221;1885604691724147442306158672359320537577151087079925470218908940813;0.5474000026879366 ms
Fermat;224;26891033911941532286037488238327981652040582438202345616457283281581;0.5218000005697832 ms
